gamePk,attendance,attendance_high_for_date,attendance_low_for_date,is_doubleheader_date
778121,18247.0,18247.0,18247.0,False
778126,47345.0,47345.0,47345.0,False
778123,46502.0,46502.0,46502.0,False
778131,38387.0,38387.0,38387.0,False
778109,47192.0,47192.0,47192.0,False
778116,15523.0,15523.0,15523.0,False
778134,15709.0,15709.0,13550.0,True
778119,13550.0,15709.0,13550.0,True
778110,27568.0,27568.0,27568.0,False
778102,29661.0,29661.0,29661.0,False
778104,16229.0,16229.0,16229.0,False
778117,31904.0,31904.0,31904.0,False
778112,11297.0,11297.0,11297.0,False
778115,22381.0,22381.0,22381.0,False
778118,37713.0,37713.0,37713.0,False
778113,10046.0,10046.0,10046.0,False
778114,26498.0,26498.0,26498.0,False
778111,10253.0,10253.0,10253.0,False
778106,19803.0,19803.0,19803.0,False
778105,37698.0,37698.0,37698.0,False
778100,13633.0,13633.0,13633.0,False
778097,8794.0,8794.0,8794.0,False
778107,15513.0,15513.0,15513.0,False
778103,36239.0,36239.0,36239.0,False
778108,15968.0,15968.0,15968.0,False
778101,28486.0,28486.0,28486.0,False
778096,30808.0,30808.0,30808.0,False
778099,37069.0,37069.0,37069.0,False
778095,24198.0,24198.0,24198.0,False
778098,27198.0,27198.0,27198.0,False
778094,11917.0,11917.0,11917.0,False
778091,8864.0,8864.0,8864.0,False
778087,19509.0,19509.0,19509.0,False
778090,12349.0,12349.0,12349.0,False
778093,26364.0,26364.0,26364.0,False
778088,45189.0,45189.0,45189.0,False
778081,26087.0,26087.0,26087.0,False
778089,35914.0,35914.0,35914.0,False
778092,41201.0,41201.0,41201.0,False
778079,13866.0,13866.0,13866.0,False
778083,29074.0,29074.0,29074.0,False
778080,34559.0,34559.0,34559.0,False
778084,27966.0,27966.0,27966.0,False
778085,29870.0,29870.0,29870.0,False
778082,35036.0,35036.0,35036.0,False
778086,40133.0,40133.0,40133.0,False
778069,40049.0,40049.0,40049.0,False
778074,44051.0,44051.0,44051.0,False
778066,20874.0,20874.0,20874.0,False
778064,40507.0,40507.0,40507.0,False
778065,17675.0,17675.0,17675.0,False
778073,36250.0,36250.0,36250.0,False
778067,31335.0,31335.0,31335.0,False
778078,42650.0,42650.0,42650.0,False
778077,26224.0,26224.0,26224.0,False
778071,37335.0,37335.0,37335.0,False
778072,19348.0,19348.0,19348.0,False
778076,42159.0,42159.0,42159.0,False
778070,26726.0,26726.0,26726.0,False
778075,13543.0,13543.0,13543.0,False
778063,33539.0,33539.0,33539.0,False
778061,17690.0,17690.0,17690.0,False
778068,30313.0,37735.0,30313.0,True
778062,31956.0,31956.0,31956.0,False
778053,37735.0,37735.0,30313.0,True
778051,17184.0,17184.0,17184.0,False
778057,43349.0,43349.0,43349.0,False
778050,37554.0,37554.0,37554.0,False
778056,30641.0,30641.0,30641.0,False
778059,44010.0,44010.0,44010.0,False
778055,19418.0,19418.0,19418.0,False
778054,37360.0,37360.0,37360.0,False
778052,27812.0,27812.0,27812.0,False
778048,41087.0,41087.0,41087.0,False
778058,23494.0,23494.0,23494.0,False
778060,39649.0,39649.0,39649.0,False
778043,12529.0,12529.0,12529.0,False
778047,15395.0,15395.0,15395.0,False
778045,38128.0,38128.0,38128.0,False
778049,30175.0,30175.0,30175.0,False
778044,36834.0,36834.0,36834.0,False
778042,20306.0,20306.0,20306.0,False
778039,22674.0,22674.0,22674.0,False
778038,10257.0,10257.0,10257.0,False
778036,22369.0,22369.0,22369.0,False
778035,17312.0,17312.0,17312.0,False
778037,29858.0,29858.0,29858.0,False
778025,25867.0,25867.0,25867.0,False
778028,19779.0,19779.0,19779.0,False
778040,10046.0,10046.0,10046.0,False
778026,21948.0,21948.0,21948.0,True
778041,38090.0,38090.0,38090.0,False
778031,21075.0,21075.0,21075.0,False
778027,37303.0,37303.0,37303.0,False
778046,21948.0,21948.0,21948.0,True
778033,15968.0,15968.0,15968.0,False
778030,25307.0,25307.0,25307.0,False
778032,24353.0,24353.0,24353.0,False
778024,9615.0,9615.0,9615.0,False
778034,32835.0,32835.0,32835.0,False
778020,31889.0,31889.0,31889.0,False
778022,19896.0,19896.0,19896.0,False
778010,9697.0,9697.0,9697.0,False
778015,26922.0,26922.0,26922.0,False
778018,31437.0,31437.0,31437.0,False
778016,27453.0,27453.0,27453.0,False
778014,25729.0,25729.0,25729.0,False
778009,26646.0,26646.0,26646.0,False
778012,12328.0,12328.0,12328.0,False
778021,10046.0,10046.0,10046.0,False
778019,42302.0,42302.0,42302.0,False
778023,32761.0,32761.0,32761.0,False
778011,16417.0,16417.0,16417.0,False
778013,18855.0,18855.0,18855.0,False
778017,13635.0,13635.0,13635.0,False
778004,23030.0,23030.0,23030.0,True
778007,17410.0,17410.0,17410.0,False
778006,27800.0,27800.0,27800.0,False
778008,25386.0,25386.0,25386.0,False
778005,10046.0,10046.0,10046.0,False
778003,33794.0,33794.0,33794.0,False
778000,26245.0,26245.0,26245.0,False
777999,40319.0,40319.0,40319.0,False
778029,23030.0,23030.0,23030.0,True
777997,25328.0,25328.0,25328.0,False
777991,18992.0,18992.0,18992.0,False
777996,28407.0,28407.0,28407.0,False
777998,19357.0,19357.0,19357.0,False
778002,10046.0,10046.0,10046.0,False
778001,41243.0,41243.0,41243.0,False
777990,30348.0,30348.0,30348.0,False
777988,49122.0,49122.0,49122.0,False
777989,36857.0,36857.0,36857.0,False
777993,30490.0,30490.0,30490.0,False
777986,30778.0,30778.0,30778.0,False
777992,21744.0,21744.0,21744.0,False
777984,31564.0,31564.0,31564.0,False
777994,12049.0,12049.0,12049.0,False
777995,27849.0,27849.0,27849.0,False
777987,40844.0,40844.0,40844.0,False
777979,32335.0,32335.0,32335.0,False
777980,37796.0,37796.0,37796.0,False
777985,27767.0,27767.0,27767.0,False
777972,12113.0,12113.0,12113.0,False
777981,10046.0,10046.0,10046.0,False
777983,34782.0,34782.0,34782.0,False
777976,38423.0,38423.0,38423.0,False
777978,24264.0,24264.0,24264.0,False
777982,41423.0,41423.0,41423.0,False
777974,23812.0,23812.0,23812.0,False
777975,47106.0,47106.0,47106.0,False
777973,27975.0,27975.0,27975.0,False
777970,31182.0,31182.0,31182.0,False
777977,29460.0,29460.0,29460.0,False
777964,10046.0,10046.0,10046.0,False
777969,36138.0,36138.0,36138.0,False
777967,17845.0,17845.0,17845.0,False
777954,46292.0,46292.0,46292.0,False
777962,20585.0,20585.0,20585.0,False
777968,41673.0,41673.0,41673.0,False
777965,25785.0,25785.0,25785.0,False
777963,37794.0,37794.0,37794.0,False
777956,23551.0,23551.0,23551.0,False
777955,34422.0,34422.0,34422.0,False
777957,12224.0,12224.0,12224.0,False
